"study","impostor","subject","age","gender","education","item_number","load_acc","load_rt","slow","to_exclude","conflict","response_stage","accuracy","resp_cat","RT","conf","conf_rt"
"1","strong","1_1",50,1,4,1,1,2.173,0,0,"NC","a",1,1,2.711,100,1.154
"1","strong","1_1",50,1,4,1,1,2.173,0,0,"NC","b",1,1,1.446,100,0.893
"1","strong","1_1",50,1,4,2,1,0.7,0,0,"C","a",0,4,3.286,0,2.464
"1","strong","1_1",50,1,4,2,1,0.7,0,0,"C","b",0,4,0.913,0,0.904
"1","strong","1_1",50,1,4,3,1,2.201,0,0,"NC","a",1,1,2.761,100,1.56
"1","strong","1_1",50,1,4,3,1,2.201,0,0,"NC","b",1,1,1.59,100,1.562
"1","strong","1_1",50,1,4,4,1,0.944,0,0,"C","a",1,3,3.643,100,1.742
"1","strong","1_1",50,1,4,4,1,0.944,0,0,"C","b",1,3,1.227,100,1.743
"1","strong","1_1",50,1,4,5,1,1.501,0,0,"C","a",1,3,2.433,100,1.505
"1","strong","1_1",50,1,4,5,1,1.501,0,0,"C","b",1,3,1.445,100,0.929
"1","strong","1_1",50,1,4,6,1,0.9,0,0,"NC","a",1,1,2.232,100,1.431
"1","strong","1_1",50,1,4,6,1,0.9,0,0,"NC","b",1,1,1.118,100,0.807
"1","strong","1_1",50,1,4,7,1,0.818,0,0,"NC","a",1,1,3.045,75,5.164
"1","strong","1_1",50,1,4,7,1,0.818,0,0,"NC","b",1,1,1.792,100,0.874
"1","strong","1_1",50,1,4,8,1,0.432,0,0,"NC","a",1,1,2.657,100,2.34
"1","strong","1_1",50,1,4,8,1,0.432,0,0,"NC","b",1,1,0.638,100,0.931
"1","strong","1_1",50,1,4,9,1,1.882,0,0,"NC","a",1,1,4.135,100,2.187
"1","strong","1_1",50,1,4,9,1,1.882,0,0,"NC","b",1,1,1.244,100,2.318
"1","strong","1_1",50,1,4,10,1,0.98,0,0,"C","a",0,4,2.946,0,1.309
"1","strong","1_1",50,1,4,10,1,0.98,0,0,"C","b",0,4,0.921,0,1.138
"1","strong","1_1",50,1,4,11,1,1.238,0,0,"NC","a",1,1,2.221,100,1.181
"1","strong","1_1",50,1,4,11,1,1.238,0,0,"NC","b",0,2,0.977,0,2.961
"1","strong","1_1",50,1,4,12,1,0.3,0,0,"C","a",0,1,2.647,100,1.463
"1","strong","1_1",50,1,4,12,1,0.3,0,0,"C","b",0,1,1.756,99,4.162
"1","strong","1_1",50,1,4,13,0,0.715,0,1,"C","a",1,3,2.802,100,0.917
"1","strong","1_1",50,1,4,13,0,0.715,0,1,"C","b",1,3,2.262,100,0.655
"1","strong","1_1",50,1,4,14,0,1.329,0,1,"C","a",0,1,2.435,100,0.972
"1","strong","1_1",50,1,4,14,0,1.329,0,1,"C","b",0,1,1,100,0.568
"1","strong","1_1",50,1,4,15,1,0.247,0,0,"C","a",0,1,2.126,100,1.748
"1","strong","1_1",50,1,4,15,1,0.247,0,0,"C","b",0,1,0.818,100,1.63
"1","strong","1_1",50,1,4,16,1,3.001,0,0,"NC","a",1,1,2.117,88,2.863
"1","strong","1_1",50,1,4,16,1,3.001,0,0,"NC","b",1,1,1.323,99,1.267
"1","strong","1_1",50,1,4,17,0,2.071,0,1,"NC","a",1,1,3.033,100,1.002
"1","strong","1_1",50,1,4,17,0,2.071,0,1,"NC","b",1,1,0.984,100,1.196
"1","strong","1_1",50,1,4,18,1,1.992,0,0,"NC","a",1,1,1.986,98,2.848
"1","strong","1_1",50,1,4,18,1,1.992,0,0,"NC","b",1,1,0.983,99,1.435
"1","strong","1_1",50,1,4,19,1,0.575,0,0,"C","a",0,1,2.301,100,2.114
"1","strong","1_1",50,1,4,19,1,0.575,0,0,"C","b",0,1,2,0,2.214
"1","strong","1_1",50,1,4,20,0,0.53,0,1,"C","a",0,1,3.954,100,1.525
"1","strong","1_1",50,1,4,20,0,0.53,0,1,"C","b",0,1,2.537,100,1.011
"1","strong","1_2",29,2,2,1,0,0.639,0,1,"NC","a",1,1,2.581,0,1.666
"1","strong","1_2",29,2,2,1,0,0.639,0,1,"NC","b",1,1,8.267,100,1.773
"1","strong","1_2",29,2,2,2,1,2.295,0,0,"C","a",0,1,2.268,100,1.735
"1","strong","1_2",29,2,2,2,1,2.295,0,0,"C","b",0,1,0.931,100,1.122
"1","strong","1_2",29,2,2,3,1,1.3,1,1,"NC","a",0,NA,5.122,NA,NA
"1","strong","1_2",29,2,2,3,1,1.3,1,1,"NC","b",0,2,2.315,0,1.974
"1","strong","1_2",29,2,2,4,1,1.09,0,0,"C","a",1,3,3.934,100,1.902
"1","strong","1_2",29,2,2,4,1,1.09,0,0,"C","b",0,1,1.801,0,1.285
"1","strong","1_2",29,2,2,5,1,1.829,0,0,"C","a",0,1,2.475,100,1.591
"1","strong","1_2",29,2,2,5,1,1.829,0,0,"C","b",0,1,1.048,100,1.067
"1","strong","1_2",29,2,2,6,1,1.024,0,0,"NC","a",1,1,3.025,100,1.542
"1","strong","1_2",29,2,2,6,1,1.024,0,0,"NC","b",1,1,6.119,100,1.472
"1","strong","1_2",29,2,2,7,1,0.549,1,1,"NC","a",0,NA,5.023,NA,NA
"1","strong","1_2",29,2,2,7,1,0.549,1,1,"NC","b",1,1,0.645,100,1.194
"1","strong","1_2",29,2,2,8,1,1.291,0,0,"NC","a",1,1,2.477,100,1.819
"1","strong","1_2",29,2,2,8,1,1.291,0,0,"NC","b",1,1,1.213,100,1.725
"1","strong","1_2",29,2,2,9,0,0.692,1,1,"NC","a",0,NA,5.012,NA,NA
"1","strong","1_2",29,2,2,9,0,0.692,1,1,"NC","b",1,1,2.721,100,1.355
"1","strong","1_2",29,2,2,10,0,1.684,1,1,"C","a",0,NA,5.023,NA,NA
"1","strong","1_2",29,2,2,10,0,1.684,1,1,"C","b",0,1,2.03,0,1.648
"1","strong","1_2",29,2,2,11,1,11.194,0,0,"NC","a",0,3,4.682,0,1.408
"1","strong","1_2",29,2,2,11,1,11.194,0,0,"NC","b",1,1,1.578,100,2.368
"1","strong","1_2",29,2,2,12,0,0.922,0,1,"C","a",0,1,2.601,100,1.711
"1","strong","1_2",29,2,2,12,0,0.922,0,1,"C","b",1,3,2.679,100,1.371
"1","strong","1_2",29,2,2,13,1,4.603,1,1,"C","a",0,NA,5.021,NA,NA
"1","strong","1_2",29,2,2,13,1,4.603,1,1,"C","b",1,3,1.587,100,2.129
"1","strong","1_2",29,2,2,14,1,1.658,0,0,"C","a",0,1,3.201,100,1.769
"1","strong","1_2",29,2,2,14,1,1.658,0,0,"C","b",0,1,1.479,100,1.731
"1","strong","1_2",29,2,2,15,0,2.96,0,1,"C","a",0,1,2.916,100,1.511
"1","strong","1_2",29,2,2,15,0,2.96,0,1,"C","b",0,1,3.954,100,0.817
"1","strong","1_2",29,2,2,16,1,2.748,0,0,"NC","a",1,1,2.345,100,2.043
"1","strong","1_2",29,2,2,16,1,2.748,0,0,"NC","b",1,1,1.607,100,1.717
"1","strong","1_2",29,2,2,17,0,3.249,1,1,"NC","a",0,NA,5.027,NA,NA
"1","strong","1_2",29,2,2,17,0,3.249,1,1,"NC","b",1,1,4.687,100,1.603
"1","strong","1_2",29,2,2,18,0,0.633,1,1,"NC","a",0,NA,5.12,NA,NA
"1","strong","1_2",29,2,2,18,0,0.633,1,1,"NC","b",1,1,2.146,0,1.296
"1","strong","1_2",29,2,2,19,1,0.823,0,0,"C","a",0,1,2.096,100,1.798
"1","strong","1_2",29,2,2,19,1,0.823,0,0,"C","b",0,1,0.668,100,0.996
"1","strong","1_2",29,2,2,20,1,1.653,0,0,"C","a",0,1,3.206,100,1.615
"1","strong","1_2",29,2,2,20,1,1.653,0,0,"C","b",0,1,0.975,100,1.28
"1","strong","1_3",20,2,2,1,1,1.401,0,0,"C","a",0,1,2.242,60,2.936
"1","strong","1_3",20,2,2,1,1,1.401,0,0,"C","b",1,3,1.3,90,1.478
"1","strong","1_3",20,2,2,2,1,1.2,0,0,"NC","a",0,4,3.3,0,1.992
"1","strong","1_3",20,2,2,2,1,1.2,0,0,"NC","b",0,4,1.355,0,1.739
"1","strong","1_3",20,2,2,3,0,2.337,0,1,"C","a",0,1,2.34,90,1.972
"1","strong","1_3",20,2,2,3,0,2.337,0,1,"C","b",0,1,1.521,90,1.503
"1","strong","1_3",20,2,2,4,1,1.82,0,0,"NC","a",0,4,1.745,0,3.776
"1","strong","1_3",20,2,2,4,1,1.82,0,0,"NC","b",0,4,1.236,0,1.173
"1","strong","1_3",20,2,2,5,1,1.448,0,0,"NC","a",1,1,2.17,100,2.885
"1","strong","1_3",20,2,2,5,1,1.448,0,0,"NC","b",1,1,1.352,100,1.997
"1","strong","1_3",20,2,2,6,1,0.8,0,0,"C","a",0,1,1.848,50,3.426
"1","strong","1_3",20,2,2,6,1,0.8,0,0,"C","b",1,3,7.771,70,3.357
"1","strong","1_3",20,2,2,7,1,6.393,0,0,"C","a",0,1,2.165,100,2.452
"1","strong","1_3",20,2,2,7,1,6.393,0,0,"C","b",0,1,1.201,100,1.754
"1","strong","1_3",20,2,2,8,1,1.837,0,0,"C","a",1,3,2.843,100,2.173
"1","strong","1_3",20,2,2,8,1,1.837,0,0,"C","b",1,3,1.197,100,1.817
"1","strong","1_3",20,2,2,9,1,1.201,0,0,"C","a",1,3,2,100,2.311
"1","strong","1_3",20,2,2,9,1,1.201,0,0,"C","b",1,3,2.7,100,2.509
"1","strong","1_3",20,2,2,10,1,2,0,0,"NC","a",1,1,4.028,100,1.743
"1","strong","1_3",20,2,2,10,1,2,0,0,"NC","b",1,1,1.341,100,2.253
"1","strong","1_3",20,2,2,11,1,1.128,0,0,"C","a",0,4,4.012,0,2.662
"1","strong","1_3",20,2,2,11,1,1.128,0,0,"C","b",0,4,1.353,0,1.668
"1","strong","1_3",20,2,2,12,1,0.946,0,0,"NC","a",1,1,2.734,100,2.417
"1","strong","1_3",20,2,2,12,1,0.946,0,0,"NC","b",1,1,1.635,100,2.232
"1","strong","1_3",20,2,2,13,1,1.76,0,0,"NC","a",1,1,1.901,100,2.109
"1","strong","1_3",20,2,2,13,1,1.76,0,0,"NC","b",1,1,1.615,100,2.206
"1","strong","1_3",20,2,2,14,0,1.765,0,1,"NC","a",1,1,2.547,80,2.349
"1","strong","1_3",20,2,2,14,0,1.765,0,1,"NC","b",1,1,1.2,80,1.706
"1","strong","1_3",20,2,2,15,1,2.06,0,0,"NC","a",1,1,2.533,100,2.016
"1","strong","1_3",20,2,2,15,1,2.06,0,0,"NC","b",1,1,1.9,100,6.679
"1","strong","1_3",20,2,2,16,1,4.301,0,0,"C","a",1,3,3.695,60,4.042
"1","strong","1_3",20,2,2,16,1,4.301,0,0,"C","b",1,3,2.668,70,2.591
"1","strong","1_3",20,2,2,17,1,1.69,0,0,"C","a",0,1,2.237,100,2.351
"1","strong","1_3",20,2,2,17,1,1.69,0,0,"C","b",0,1,2.22,100,2.273
"1","strong","1_3",20,2,2,18,1,3.322,0,0,"C","a",0,4,2.24,50,3.903
"1","strong","1_3",20,2,2,18,1,3.322,0,0,"C","b",0,4,1.358,50,1.514
"1","strong","1_3",20,2,2,19,1,0.966,0,0,"NC","a",1,1,3.018,100,1.957
"1","strong","1_3",20,2,2,19,1,0.966,0,0,"NC","b",1,1,1.393,100,2.009
"1","strong","1_3",20,2,2,20,1,1.097,0,0,"NC","a",0,4,2.78,0,1.314
"1","strong","1_3",20,2,2,20,1,1.097,0,0,"NC","b",0,4,0.613,0,0.982
"1","strong","1_4",38,2,2,1,1,0.691,0,0,"C","a",0,1,2.779,100,1.988
"1","strong","1_4",38,2,2,1,1,0.691,0,0,"C","b",0,1,1.316,100,1.912
