"subject","age","gender","education","condition","impostor","trial_number","item_number","response_block","slow","load_acc","to_exclude","conflict","resp_cat","accuracy","RT","conf"
"4_1","22",2,3,"SFS","strong",1,3,"Slow",NA,NA,0,"NC",1,1,28.209,70
"4_1","22",2,3,"SFS","strong",2,16,"Slow",NA,NA,0,"C",3,1,12.187,70
"4_1","22",2,3,"SFS","strong",3,1,"Slow",NA,NA,0,"C",3,1,8.686,70
"4_1","22",2,3,"SFS","strong",4,17,"Slow",NA,NA,0,"NC",1,1,4.001,100
"4_1","22",2,3,"SFS","strong",5,4,"Slow",NA,NA,0,"NC",1,1,9.67,90
"4_1","22",2,3,"SFS","strong",6,11,"Slow",NA,NA,0,"C",4,0,12.003,100
"4_1","22",2,3,"SFS","strong",7,7,"Slow",NA,NA,0,"NC",1,1,5.051,100
"4_1","22",2,3,"SFS","strong",8,19,"Slow",NA,NA,0,"NC",1,1,7.385,100
"4_1","22",2,3,"SFS","strong",9,5,"Slow",NA,NA,0,"C",3,1,7.052,100
"4_1","22",2,3,"SFS","strong",10,6,"Slow",NA,NA,0,"C",3,1,9.319,100
"4_1","22",2,3,"SFS","strong",11,10,"Fast",0,0,1,"NC",2,0,4.602,70
"4_1","22",2,3,"SFS","strong",12,12,"Fast",0,0,1,"NC",1,1,3.001,100
"4_1","22",2,3,"SFS","strong",13,14,"Fast",0,1,0,"C",1,0,3.002,100
"4_1","22",2,3,"SFS","strong",14,2,"Fast",0,1,0,"NC",1,1,3.384,80
"4_1","22",2,3,"SFS","strong",15,20,"Fast",0,0,1,"NC",1,1,4.469,100
"4_1","22",2,3,"SFS","strong",16,13,"Fast",0,1,0,"C",1,0,2.933,100
"4_1","22",2,3,"SFS","strong",17,18,"Fast",1,1,1,"C",NA,0,5.036,NA
"4_1","22",2,3,"SFS","strong",18,8,"Fast",0,1,0,"C",1,0,2.634,100
"4_1","22",2,3,"SFS","strong",19,15,"Fast",0,1,0,"C",1,0,2.167,100
"4_1","22",2,3,"SFS","strong",20,9,"Fast",0,1,0,"NC",1,1,2.934,100
"4_2","32",2,3,"SFW","weak",1,9,"Slow",NA,NA,0,"C",3,1,5.543,100
"4_2","32",2,3,"SFW","weak",2,19,"Slow",NA,NA,0,"C",3,1,10.61,100
"4_2","32",2,3,"SFW","weak",3,14,"Slow",NA,NA,0,"NC",1,1,2.735,100
"4_2","32",2,3,"SFW","weak",4,12,"Slow",NA,NA,0,"NC",1,1,5.366,100
"4_2","32",2,3,"SFW","weak",5,4,"Slow",NA,NA,0,"NC",1,1,4.801,90
"4_2","32",2,3,"SFW","weak",6,15,"Slow",NA,NA,0,"NC",1,1,6.806,100
"4_2","32",2,3,"SFW","weak",7,3,"Slow",NA,NA,0,"NC",1,1,6.728,100
"4_2","32",2,3,"SFW","weak",8,20,"Slow",NA,NA,0,"C",1,0,3.076,100
"4_2","32",2,3,"SFW","weak",9,16,"Slow",NA,NA,0,"C",3,1,5.057,100
"4_2","32",2,3,"SFW","weak",10,6,"Slow",NA,NA,0,"C",1,0,4.038,90
"4_2","32",2,3,"SFW","weak",11,13,"Fast",0,1,0,"NC",1,1,2.28,100
"4_2","32",2,3,"SFW","weak",12,7,"Fast",0,1,0,"NC",1,1,2.691,100
"4_2","32",2,3,"SFW","weak",13,5,"Fast",0,1,0,"NC",1,1,4.757,100
"4_2","32",2,3,"SFW","weak",14,18,"Fast",0,1,0,"C",3,1,2.098,100
"4_2","32",2,3,"SFW","weak",15,11,"Fast",0,0,1,"NC",1,1,3.803,100
"4_2","32",2,3,"SFW","weak",16,1,"Fast",0,1,0,"C",3,1,4.385,90
"4_2","32",2,3,"SFW","weak",17,10,"Fast",1,1,1,"C",NA,1,5.07,NA
